Program launched in profiler mode on the tracee2 tracee.
Detected profiler mode
Tracee path = tracee2
Address of main = 804889c
806fbc2 | 89 | 5089
806fbc6 | 8b | 308b
806fbcc | 8b | 108b
806fbd2 | 89 | 4089
806fbd6 | f | b00f
806fbdd | 89 | 7089
806fbe1 | 8b | 308b
806fbe7 | 89 | 7089
806fbeb | 89 | 5089
806fbef | 8b | 308b
806fbf5 | 8b | 108b
806fbfb | 89 | 7089
806fbff | 66 | 8066
806fc04 | 8b | 308b
806fc0a | 8b | 8b
806fc10 | 89 | 5089
806fc14 | 89 | 7089
806fc18 | 31 | d031
806fc1a | 89 | 7089
806fc1e | 89 | 4089
806fc22 | 31 | c031
806fc24 | 8b | 308b
806fc2a | 31 | f031
806fc2c | c6 | 40c6
806fc31 | c6 | 40c6
806fc36 | c6 | 40c6
806fc3b | c6 | 40c6
806fc40 | c6 | 40c6
806fc45 | 89 | 7089
806fc49 | c6 | 40c6
806fc4e | 31 | f031
806fc50 | c6 | 40c6
806fc55 | c6 | 40c6
806fc5a | c6 | 40c6
806fc5f | c6 | 40c6
806fc64 | c6 | 40c6
806fc69 | c6 | 40c6
806fc6e | 89 | 89
806fc71 | 8d | b08d
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fdc0 | 8b | 408b
806fdc3 | c6 | 40c6
806fdc8 | 89 | 4089
806fdcc | e9 | c0e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fc90 | 8b | 408b
806fc93 | c6 | 40c6
806fc98 | 89 | 4089
806fc9c | 8d | 708d
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fe60 | 8b | 508b
806fe63 | 31 | c031
806fe65 | c6 | 40c6
806fe6a | 89 | 4089
806fe6e | 89 | 5089
806fe72 | e9 | 20e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806ff08 | 8b | 508b
806ff0b | 85 | d085
806ff0d | f | 400f
806ff10 | ba | ba
806ff15 | f | 400f
806ff18 | e9 | 80e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fe48 | 8b | 408b
806fe4b | c6 | 40c6
806fe50 | 89 | 4089
806fe54 | e9 | 40e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fee0 | 8b | 408b
806fee3 | c6 | 40c6
806fee8 | 89 | 4089
806feec | e9 | a0e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fec8 | 8b | 408b
806fecb | c6 | 40c6
806fed0 | 89 | 4089
806fed4 | e9 | c0e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
